# Weight Table Information
#
#    Name:                        Supine
#    Time Stamp:                  Thu Sep  6 14:12:52 2018
#    Table Version:               2 (Variable Size)
#    Entry Size:                  0 bytes
#    Total Entries:               248
#    Number of Analog References: 3
#    Number of DSP Reference:     23
#    Description:                 
#
#               Analog Ref.            DSP Ref.                                                                                                                                                                                                                            
#
Entry  Channel  MCxA    MCyA    MCzA      MLzA       MLyA       MLzaA      MLyaA      MLxA       MLxaA      MRzA       MRxA       MRzaA      MRxaA      MRyA       MCzA       MRyaA      MCzaA      MCyA       GzxA       MCyaA      MCxA       MCxaA      GyyA       GzyA       GxxA       GyxA       
60     A168     815     -932    -282      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.027046   0.000000  -0.033628  -0.073568   0.697416  -0.024294  -0.123145   0.086501   0.183184  -1.447511   0.894801   0.253961 
61     A31      360     -522    929       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.118735   0.000000  -0.030376  -0.118311   0.247738   0.008102  -0.221489   0.029273   0.149708  -0.361801   0.260839   0.728117 
62     A223     924     -863    -329      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000  -0.310232   0.000000  -0.040837  -0.330928   0.982809  -0.014849  -0.463241   0.119508   0.306038  -1.464899   1.142521   0.306231 
63     A245     50      1199    -128      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.451436   0.000000  -0.079186   0.315054  -0.017637   0.014454   0.502071  -0.049734   0.545991   1.023386   0.062638  -1.336613 
64     A219     -1073   -155    441       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.642475   0.000000   0.087194   0.647228  -1.265164   0.020314   0.724411  -0.106430  -0.407437  -0.260845  -1.185966  -0.125105 
65     A12      -624    -16     -872      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.378779   0.000000   0.038441   0.323859  -0.549744  -0.038148   0.425540  -0.027352   0.060365  -0.029958  -0.125068  -0.054165 
66     A186     -1116   94      450       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.441606   0.000000   0.079886   0.402437  -1.162208   0.025030   0.446151  -0.106869  -0.458916  -0.061717  -1.096382  -0.228447 
67     A105     -1105   42      15        0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.377082   0.000000   0.073737   0.282420  -0.926330  -0.005784   0.428450  -0.064720  -0.097711  -0.078894  -0.619186   0.062886 
68     A222     -915    540     342       0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.416943   0.000000   0.043491   0.340488  -1.116226  -0.014410   0.457887  -0.103604  -0.173145   0.364442  -0.937954   0.104204 
69     A76      -1119   270     -295      0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.000000   0.654831   0.000000   0.040960   0.592074  -0.713391   0.011737   0.850209  -0.101637  -0.148700   0.131273  -0.656736  -0.318067 
